"","WOREDACODE","Mean_Lime_required","W_NAME"
"166",40305,4.41446054545455,"Dabo Hana"
"167",40306,4.1851155,"Gechi"
"168",40307,4.23069846153846,"Boricha"
"169",40308,4.106338,"DEDESA"
"170",40309,3.4616125,"Yayu"
"171",40311,3.265096,"Ale"
"172",40312,2.54073466666667,"Bure"
"173",40313,3.156128,"Nono Sele"
"174",40316,4.264368,"Hurumu"
"175",40317,3.693599,"Didu"
"176",40318,4.569996,"Meko"
"177",40322,4.44155415789474,"Bedele Zuriya"
"178",40324,2.541698,"Doreni"
"179",40401,3.81859069230769,"Limu Seka"
"180",40403,2.570624,"Sekoru"
"181",40404,3.13350375,"TIRO AFETA"
"182",40405,3.09079766666667,"Kerisa"
"183",40406,3.969234,"Mana"
"184",40407,4.091386,"Gomma"
"185",40408,4.21838,"Gera"
"186",40409,2.73064457894737,"Seka Chekorsa"
"187",40410,3.01188426470588,"Dedo"
"188",40411,2.60505375,"Omonada"
"189",40412,3.61125977777778,"SIGMO"
"190",40413,3.94483736363636,"Setema"
"191",40414,3.0912918,"Shebe Senbo"
"192",40415,2.882236,"Chora Boter"
"193",40416,4.391249,"Guma"
"194",40501,2.60316345454545,"Ginde Beret"
"195",40502,2.6741915,"Jeldu"
"196",40503,0.7307935,"Ambo"
"197",40505,2.901124,"Chelia"
"198",40507,2.49859492307692,"Dano"
"199",40508,3.182517,"Nono"
"200",40509,1.483024,"Tikur Enchini"
"201",40510,1.233303,"Dendi"
"202",40511,1.133438,"Ejerie"
"203",40512,2.712581,"Welmera"
"204",40513,1.6760305,"Adea Berga"
"205",40514,1.956653,"Metarobi"
"206",40516,2.109088,"Abuna Gindeberet"
"207",40517,1.46786344444444,"Toko Kutaye"
"208",40519,2.8855005,"Elifata"
"209",40601,0,"Were Jarso"
"210",40602,0,"Dera"
"211",40603,0,"Hidabu Abote"
"212",40604,0,"Kuyu"
"213",40605,0.5453915,"Degem"
"214",40606,0,"Girar Jarso"
"215",40607,0,"Debre Libanos"
"216",40608,0.728417,"Wuchale"
"217",40609,0.7138805,"ABICHUGNA"
"218",40610,1.4508401,"Kimbibit"
"219",40611,1.71731833333333,"Bereh"
"220",40612,1.379467,"Sulullta"
"221",40614,0,"Yaya Gulele"
"222",40615,2.10343615384615,"Jido"
"223",40616,2.1353385,"Mulo"
"224",40617,0,"Aleiltu"
"225",40702,0,"Boset"
"226",40703,0,"Adama"
"227",40704,0,"Lomme"
"228",40705,0.359284,"Gimbichu"
"229",40706,0,"Adea"
"230",40707,0,"Dugda"
"231",40708,0.526968,"Adami Tulu Jido Kombolcha"
"232",40710,0.39911565,"Bora"
"233",40711,0,"Liben"
"234",40712,0,"Akaki"
"235",40801,0,"Merti"
