"","WOREDACODE","Mean_Lime_required","W_NAME"
"168",40303,4.24407527272727,"CHORA"
"169",40304,4.637584,"Diga"
"170",40305,4.44583018181818,"Dabo Hana"
"171",40306,4.1851155,"Gechi"
"172",40307,4.239947,"Boricha"
"173",40308,3.9437645,"DEDESA"
"174",40309,3.4616125,"Yayu"
"175",40310,4.186765,"METU"
"176",40311,3.265096,"Ale"
"177",40312,2.743305,"Bure"
"178",40313,3.156128,"Nono Sele"
"179",40316,4.3115944,"Hurumu"
"180",40317,3.693599,"Didu"
"181",40318,4.569996,"Meko"
"182",40322,4.44155415789474,"Bedele Zuriya"
"183",40324,2.541698,"Doreni"
"184",40401,3.802814,"Limu Seka"
"185",40402,3.30837,"Limu Kosa"
"186",40403,2.6044275,"Sekoru"
"187",40404,3.11530005,"TIRO AFETA"
"188",40405,2.94820477777778,"Kerisa"
"189",40406,3.969234,"Mana"
"190",40407,4.091386,"Gomma"
"191",40408,3.947796,"Gera"
"192",40409,2.684541,"Seka Chekorsa"
"193",40410,2.888689625,"Dedo"
"194",40411,2.59394310526316,"Omonada"
"195",40412,3.660071,"SIGMO"
"196",40413,3.9641735,"Setema"
"197",40414,3.055744,"Shebe Senbo"
"198",40415,2.6564956,"Chora Boter"
"199",40416,4.391249,"Guma"
"200",40501,2.565754,"Ginde Beret"
"201",40502,2.4302794375,"Jeldu"
"202",40503,1.461587,"Ambo"
"203",40505,2.96337423529412,"Chelia"
"204",40507,2.4898985,"Dano"
"205",40509,1.483024,"Tikur Enchini"
"206",40510,0.525672235294118,"Dendi"
"207",40511,0.755625333333333,"Ejerie"
"208",40513,1.6760305,"Adea Berga"
"209",40514,1.66585,"Metarobi"
"210",40516,2.434108,"Abuna Gindeberet"
"211",40517,2.11402709090909,"Toko Kutaye"
"212",40601,0,"Were Jarso"
"213",40602,0,"Dera"
"214",40604,0,"Kuyu"
"215",40605,0,"Degem"
"216",40607,0,"Debre Libanos"
"217",40608,0,"Wuchale"
"218",40612,1.18240028571429,"Sulullta"
"219",40614,0,"Yaya Gulele"
"220",40616,1.996009,"Mulo"
"221",40702,0,"Boset"
"222",40703,0,"Adama"
"223",40704,0,"Lomme"
"224",40705,0.497470153846154,"Gimbichu"
"225",40706,0,"Adea"
"226",40707,0,"Dugda"
"227",40708,0,"Adami Tulu Jido Kombolcha"
"228",40710,0.435398890909091,"Bora"
"229",40711,0,"Liben"
"230",40712,0,"Akaki"
"231",40801,0,"Merti"
"232",40802,1.42007903076923,"Aseko"
"233",40804,0.228030373333333,"Jeju"
"234",40805,0,"Dodota"
"235",40806,0,"Zeway Dugda"
"236",40808,0,"Sude"
"237",40809,2.021384,"Chole"
"238",40810,1.02028,"Amigna"
"239",40812,0,"Robe"
"240",40814,0.71175125,"Shirka"
"241",40815,0.627802916666667,"Digeluna Tijo"
"242",40816,0.21193345,"Tiyo"
"243",40817,1.247155,"Munesa"
"244",40818,0,"Limuna Bilbilo"
"245",40819,1.90898,"Guna"
"246",40820,0,"Sire"
"247",40821,0.685327,"Ludehetosa"
"248",40823,0,"Bale Gasera"
"249",40901,0,"Meiso"
"250",40902,0,"Doba"
"251",40903,0,"Tulo"
"252",40904,0,"Mesela"
"253",40906,0,"Anchar"
"254",40907,0,"Guba Qoricha"
"255",40908,0,"Habro"
"256",40909,0,"Daro lebu"
"257",40910,0,"Boke"
"258",40911,0.620923851851852,"QUNI"
"259",40912,0.846378484848485,"Gemechis"
"260",40913,0,"CHIRO ZURIYA"
"261",41001,0,"Kombolicha"
"262",41002,0,"Jarso"
"263",41003,0,"Gursum"
"264",41005,0,"Fedis"
"265",41006,0,"Haromaya"
"266",41007,0,"Kurfa Chele"
"267",41008,0,"QERSA"
"268",41009,0,"Meta"
"269",41010,0,"Goro Gutu"
"270",41011,0,"Deder"
"271",41012,0,"Melka Belo"
"272",41013,0,"Bedeno"
"273",41016,0,"Girawa"
"274",41104,0.935405588235294,"Agarfa"
"275",41105,0.0577063909090909,"GOLOLCHA"
"276",41106,0.2224827,"Gasera"
"277",41107,0,"LEGEHIDA"
"278",41108,0.305222042857143,"GINIR"
"279",41109,0,"Sinana"
"280",41110,1.578096,"Goba"
"281",41111,2.763978,"Arena Buluq"
"282",41112,0,"Delo Mena"
"283",41115,0,"GURADAMOLE"
"284",41116,1.003813,"GORO"
"285",41118,0,"SEWEYNA"
"286",41121,0,"Dawe Qachen"
"287",41206,2.548859,"Bule Hora"
"288",41213,2.771479,"Abaya"
"289",41215,2.271152,"Dugdadewa"
"290",41301,1.80429082352941,"Ameya"
"291",41302,1.17782316666667,"Wonchi"
"292",41303,1.96246168,"Weliso"
"293",41304,0.150975852631579,"Dawo"
"294",41306,0,"Sebeta Hawas"
"295",41307,1.0821185,"Kersana Malima"
"296",41308,0,"Tole"
"297",41309,0,"Becho"
"298",41310,1.0429355,"Seden Sodo"
"299",41313,0,"Sodo Dac'ha"
"300",41401,2.35503829354839,"Uraga"
"301",41402,1.5156791516129,"Bore"
"302",41403,2.437322,"Adola"
"303",41404,1.2134171,"Wadera"
"304",41405,2.17351795454545,"Odo Shakiso"
"305",41406,2.59077488235294,"QERCHA"
"306",41407,0,"Liben"
"307",41408,1.404909,"Dima"
"308",41409,2.57257783333333,"Hambela Wamena"
"309",41702,0.855015538461538,"Shala"
"310",41703,1.14169368,"Arsi Negele"
"311",41704,0.6306113,"Kofele"
"312",41705,1.605698,"Kore"
"313",41706,0.738097517647059,"Gedeb Asasa"
"314",41707,0,"Dodola"
"315",41708,1.57112134814815,"Kokosa"
"316",41709,1.52087491,"Nensebo"
"317",41710,0,"Adaba"
"318",41712,0.482208677272727,"Shashemene"
"319",41801,2.89603730769231,"Hawa Gelan"
"320",41802,3.610337,"Yemalogi Welel"
"321",41803,3.45506017647059,"Dale Wabera"
"322",41804,3.6289485,"Gawo Qebe"
"323",41805,2.86000111428571,"Seyo"
"324",41807,2.87080573684211,"Anfilo"
"325",41808,2.86846876923077,"Dale Sedi"
"326",41809,3.00138566666667,"Gidame"
"327",41810,3.3457657,"JIMMA HORO"
"328",41811,2.54252046153846,"Laloqile"
"329",41901,3.142121,"Horo"
"330",41903,2.15090459259259,"GUDRU"
"331",41904,2.40352033333333,"Hababo Guduru"
"332",41905,4.75143,"Abay Chomen"
"333",70105,0.591562965,"SODO WEREDA"
"334",70106,0.93332272,"Meskan"
"335",70107,0.385502681818182,"Mareqo"
"336",70108,1.885397,"Enidguagn"
"337",70109,1.946222,"Gumer"
"338",70110,1.989036,"Cheha"
"339",70111,2.226607,"ENEMOR ENER"
"340",70112,1.797825,"Muhur NA Aklil"
"341",70113,1.647183,"Geta"
"342",70201,1.66017042857143,"Misha"
"343",70202,2.454354,"Gibe"
"344",70203,1.88919275,"LEMMO"
"345",70204,2.279966,"Shashago"
"346",70206,1.8007335625,"Soro"
"347",70207,1.81103635714286,"Duna"
"348",70208,1.4986789,"Analemmo"
"349",70210,2.6389645,"Gombora"
"350",70302,2.07888961538462,"Anigacha"
"351",70303,2.273469,"Kedida Gamela"
"352",70305,2.004561,"Hadaro Tunito"
"353",70306,1.9537485,"Doyo Gena"
"354",70307,2.22381723529412,"Daniboya"
"355",70401,2.284881,"Shebedino"
"356",70405,2.498475,"Aleta Wondo"
"357",70406,2.702527,"Dara"
"358",70411,1.943065,"Gorche"
"359",70412,2.479559,"Malga"
"360",70413,2.73167,"Wensho"
"361",70501,2.389488,"Wenago"
"362",70502,2.90949571428571,"Yirgachefe"
"363",70503,2.978782,"Kochore"
"364",70504,2.67164191666667,"Bule"
"365",70505,2.77788728571429,"DilaZuria"
"366",70506,2.80911382142857,"Gedeb"
"367",70602,1.511257,"DAMOT GALE"
"368",70603,2.277462,"Damot Woyide"
"369",70604,0,"Humbo"
"370",70605,1.852002,"Sodo Zuriya"
"371",70609,1.993517125,"Damot Sore"
"372",70611,1.185769,"Damot Pulasa"
